ano,sigla_uf,id_municipio,tempo_medio_deslocamento,prop_deslocamento_acima_1_hora
2010,PR,4121208,28,11
2010,PR,4122206,42,25
2010,PR,4122305,22,3
2010,PR,4125506,33,11
2010,PR,4127601,22,3
2010,PR,4127882,32,12
2010,PR,4128633,33,14
2010,SC,4205407,29,8
2010,RS,4314902,34,10
2010,MS,5002704,30,9
2010,MT,5103403,31,8
2010,GO,5200100,18,2
2010,GO,5200175,20,4
2010,GO,5200258,54,38
2010,GO,5200308,23,6
2010,GO,5200605,18,3
2010,GO,5200803,23,7
2010,GO,5203203,20,2
2010,GO,5204003,24,4
2010,GO,5205307,20,3
2010,GO,5205497,56,43
2010,GO,5205513,37,22
2010,GO,5205802,24,4
2010,GO,5206206,26,9
2010,GO,5207907,27,8
2010,GO,5208004,24,6
2010,GO,5208608,27,7
2010,GO,5208707,31,9
2010,GO,5212501,43,28
2010,GO,5213053,17,4
2010,GO,5214606,24,5
2010,GO,5215231,53,38
2010,GO,5215603,32,16
2010,GO,5217302,21,3
2010,GO,5217609,55,45
2010,GO,5219753,53,40
2010,GO,5220009,22,6
2010,GO,5220686,16,2
2010,GO,5221858,47,28
2010,GO,5222203,25,5
2010,GO,5222302,24,8
2010,DF,5300108,39,16
